,elapsed,accuracy,targ_std,targ_mean,train_loss,valid_loss,model,leak,sub,maxv
149,40.688003,0.10000000149011612,1.0,0.0,2.381832977294922,2.410976682281494,get_model_conv,-0.1,-0.1,5.0
150,39.416469,0.10000000149011612,1.0,0.0,234214.77085,275784.7503,get_model_conv,-0.1,-0.1,
151,40.834832,0.10000000149011612,1.0,0.0,2.3586872634887697,2.358606272506714,get_model_conv,-0.1,0.1,3.0
152,40.700536,0.10000000149011612,1.0,0.0,2.3766622568766276,2.3433844730377196,get_model_conv,-0.1,0.1,5.0
153,39.446555,0.10000000149011612,1.0,0.0,106096.62238333334,67808.138025,get_model_conv,-0.1,0.1,
154,40.845793,0.10000000149011612,1.0,0.0,2.360126389058431,2.348316344833374,get_model_conv,-0.1,0.2,3.0
155,40.820716,0.10000000149011612,1.0,0.0,2.395146012878418,2.3865191020965577,get_model_conv,-0.1,0.2,5.0
156,39.45329,0.10000000149011612,1.0,0.0,121970.99568333333,130473.8138125,get_model_conv,-0.1,0.2,
157,40.608056,0.10000000149011612,1.0,0.0,2.3536092480977375,2.3535541034698486,get_model_conv,-0.1,,3.0
158,40.725554,0.10000000149011612,1.0,0.0,2.3866292973836263,2.3520076515197754,get_model_conv,-0.1,,5.0
159,39.18018,0.10000000149011612,1.0,0.0,142963.40376666666,134903.5619,get_model_conv,-0.1,,
160,40.709668,0.798799991607666,1.0,0.0,0.48235414164861046,0.5495978286743164,get_model_conv,0.1,-0.1,3.0
161,40.732557,0.8176000118255615,1.0,0.0,0.4585844993273417,0.505082599067688,get_model_conv,0.1,-0.1,5.0
162,39.382944,0.8220000267028809,1.0,0.0,0.4861720862070719,0.48876067752838137,get_model_conv,0.1,-0.1,
163,40.795456,0.8245999813079834,1.0,0.0,0.41866129709879557,0.4863935395240784,get_model_conv,0.1,0.1,3.0
164,40.693468,0.8385000228881836,1.0,0.0,0.3868446002483368,0.4494426079750061,get_model_conv,0.1,0.1,5.0
165,39.496255,0.8406999707221985,1.0,0.0,0.39215813643137615,0.4463814898490906,get_model_conv,0.1,0.1,
166,40.853618,0.8317999839782715,1.0,0.0,0.3965118341763814,0.4622538437366486,get_model_conv,0.1,0.2,3.0
167,40.63365,0.8428000211715698,1.0,0.0,0.37012525180180866,0.43668802289962766,get_model_conv,0.1,0.2,5.0
168,39.461764,0.8472999930381775,1.0,0.0,0.38381371523539226,0.42042551822662355,get_model_conv,0.1,0.2,
169,40.565444,0.8109999895095825,1.0,0.0,0.4426103330930074,0.5156014395713806,get_model_conv,0.1,,3.0
170,40.617256,0.8481000065803528,1.0,0.0,0.3837574601014455,0.4334839612007141,get_model_conv,0.1,,5.0
171,39.305424,0.8251000046730042,1.0,0.0,0.4608019742965698,0.4886814269542694,get_model_conv,0.1,,
172,40.207163,0.8457000255584717,1.0,0.0,0.3992676342010498,0.435999690747261,get_model_conv,0.4,-0.1,3.0
173,40.650163,0.8510000109672546,1.0,0.0,0.36741672954559323,0.4160674855709076,get_model_conv,0.4,-0.1,5.0
174,39.428165,0.8529999852180481,1.0,0.0,0.3842913742383321,0.41713406867980957,get_model_conv,0.4,-0.1,
175,40.752855,0.8555999994277954,1.0,0.0,0.36823970940907796,0.3965749861001968,get_model_conv,0.4,0.1,3.0
176,40.742885,0.8511000275611877,1.0,0.0,0.37458543559710183,0.4256114161491394,get_model_conv,0.4,0.1,5.0
177,39.423544,0.8549000024795532,1.0,0.0,0.3728042106628418,0.41536836705207825,get_model_conv,0.4,0.1,
178,40.127712,0.861299991607666,1.0,0.0,0.35837198912302654,0.39343184037208556,get_model_conv,0.4,0.2,3.0
179,40.797935,0.8428999781608582,1.0,0.0,0.374352166557312,0.42390492913722994,get_model_conv,0.4,0.2,5.0
180,39.532626,0.8551999926567078,1.0,0.0,0.3737778210957845,0.40547068462371827,get_model_conv,0.4,0.2,
181,40.558974,0.8518000245094299,1.0,0.0,0.36695712830225624,0.41409170880317686,get_model_conv,0.4,,3.0
182,40.370586,0.8511000275611877,1.0,0.0,0.37531815055211387,0.4204786111831665,get_model_conv,0.4,,5.0
183,39.347713,0.8519999980926514,1.0,0.0,0.3694046937942505,0.4085970357179642,get_model_conv,0.4,,
184,39.428348,0.10000000149011612,1.0,0.0,2.3027129028320314,2.302624365615845,get_model_conv,,,
185,34.753504,0.10019999742507935,1.0,0.0,2.3198146542867026,2.3195527431488037,get_model_fc,-0.1,-0.1,3.0
186,34.71667,0.10000000149011612,1.0,0.0,2.328316135152181,2.3289365879058836,get_model_fc,-0.1,-0.1,5.0
187,34.413936,0.10000000149011612,1.0,0.0,45914.980035416665,29216.84334375,get_model_fc,-0.1,-0.1,
188,34.73578,0.10000000149011612,1.0,0.0,2.3186271542867023,2.3094698715209963,get_model_fc,-0.1,0.1,3.0
189,34.74175,0.10010000318288803,1.0,0.0,2.327345825958252,2.319135643005371,get_model_fc,-0.1,0.1,5.0
190,34.400571,0.10000000149011612,1.0,0.0,44763.7128375,58730.42309375,get_model_fc,-0.1,0.1,
191,34.699036,0.09960000216960907,1.0,0.0,2.317214421081543,2.324899133682251,get_model_fc,-0.1,0.2,3.0
192,34.765262,0.10000000149011612,1.0,0.0,2.3307623285929364,2.3396897369384764,get_model_fc,-0.1,0.2,5.0
193,34.468111,0.10000000149011612,1.0,0.0,22764.218253125,18383.420090625,get_model_fc,-0.1,0.2,
194,34.752585,0.10000000149011612,1.0,0.0,2.3183778849283856,2.324518502807617,get_model_fc,-0.1,,3.0
195,34.766127,0.10000000149011612,1.0,0.0,2.3288589096069336,2.3374943897247316,get_model_fc,-0.1,,5.0
196,34.350761,0.10000000149011612,1.0,0.0,49049.60455416667,44163.916325,get_model_fc,-0.1,,
197,34.762559,0.8407999873161316,1.0,0.0,0.4085423025449117,0.442623171377182,get_model_fc,0.1,-0.1,3.0
198,34.756357,0.8514999747276306,1.0,0.0,0.3624585470835368,0.4135628550052643,get_model_fc,0.1,-0.1,5.0
199,34.428062,0.8555999994277954,1.0,0.0,0.35713129126230875,0.3976916008234024,get_model_fc,0.1,-0.1,
200,34.749956,0.8446000218391418,1.0,0.0,0.38263621476491294,0.4318176329612732,get_model_fc,0.1,0.1,3.0
201,34.724665,0.8539999723434448,1.0,0.0,0.3565869525273641,0.4069219476938248,get_model_fc,0.1,0.1,5.0
202,34.423669,0.8549000024795532,1.0,0.0,0.34328571662902835,0.4072006412982941,get_model_fc,0.1,0.1,
